selected,target_d_m,lane_change_duration_s,target_speed_mps,feasible,total_cost,comfort_cost,efficiency_cost,lane_cost,risk_cost,min_normalized_clearance,rejection_reason
False,0.0,3.0,8.0,False,inf,0.0,1.6,0.0,49.999999999986855,0.04000000000001051,collision
False,0.0,3.0,10.0,False,inf,0.0,0.0,0.0,25.00000000000009,0.07999999999999971,collision
False,0.0,3.0,12.0,False,inf,0.0,1.6,0.0,2000000.0,4.263256414560601e-15,collision
False,0.0,4.0,8.0,False,inf,0.0,1.6,0.0,49.999999999986855,0.04000000000001051,collision
False,0.0,4.0,10.0,False,inf,0.0,0.0,0.0,25.00000000000009,0.07999999999999971,collision
False,0.0,4.0,12.0,False,inf,0.0,1.6,0.0,2000000.0,4.263256414560601e-15,collision
False,0.0,5.0,8.0,False,inf,0.0,1.6,0.0,49.999999999986855,0.04000000000001051,collision
False,0.0,5.0,10.0,False,inf,0.0,0.0,0.0,25.00000000000009,0.07999999999999971,collision
False,0.0,5.0,12.0,False,inf,0.0,1.6,0.0,2000000.0,4.263256414560601e-15,collision
False,3.5,3.0,8.0,True,4.660195839630773,1.4709830004882658,1.6,0.875,0.7142128391425071,2.800285699709942,
False,3.5,3.0,10.0,True,3.059977347960191,1.4709830004882658,0.0,0.875,0.7139943474719249,2.801142624001855,
False,3.5,3.0,12.0,True,4.66026871477398,1.4709830004882658,1.6,0.875,0.7142857142857143,2.8,
False,3.5,4.0,8.0,True,3.665945836411791,0.4767329972692842,1.6,0.875,0.7142128391425071,2.800285699709942,
False,3.5,4.0,10.0,True,2.0657273447412092,0.4767329972692842,0.0,0.875,0.7139943474719249,2.801142624001855,
False,3.5,4.0,12.0,True,3.6668776124045444,0.4767329972692842,1.6,0.875,0.7151446151352598,2.79663715236355,
False,3.5,5.0,8.0,True,3.3963667910203794,0.20715395187787172,1.6,0.875,0.7142128391425071,2.800285699709942,
True,3.5,5.0,10.0,True,1.7975566819040258,0.20715395187787172,0.0,0.875,0.7154027300261541,2.7956281351161225,
False,3.5,5.0,12.0,True,3.51464364006445,0.20715395187787172,1.6,0.875,0.8324896881865779,2.4024321602789143,
