scenario,runs,lateral_rmse_mean_m,lateral_rmse_std_m,lateral_rmse_worst_m,max_position_error_worst_m,heading_rmse_mean_deg,speed_rmse_mean_mps,constraint_violations_total,solver_failures_total,acceptance_passed
nominal,5,0.06285545957640473,0.0,0.06285545957640473,0.35,1.2752202563575792,0.04940782334687028,0,0,True
sensor_noise,5,0.07978409508596249,0.0026535794448495653,0.08465834761939627,0.35,2.288998344735222,0.0520369352080207,0,0,True
delay_uncompensated,5,2.2015818711939352,0.0,2.2015818711939352,7.075963873342765,36.890649859024705,1.8385747116912257,0,0,False
delay_compensated,5,0.08354840572032464,0.0,0.08354840572032464,0.3560735457302793,1.2988976822490919,0.05074089400936309,0,0,True
wheelbase_mismatch_15pct,5,0.06446053451206886,0.0,0.06446053451206886,0.35,1.2527097330407595,0.040052971178167855,0,0,True
combined_uncompensated,5,2.201841911987605,0.07032228680649213,2.3301453318562326,6.839545328256891,34.51393744930092,1.565791959194959,0,0,False
combined_compensated,5,0.11451602867691231,0.005388953750785834,0.12464851516216952,0.3560735457302793,2.9424367871996386,0.0659017883848921,0,0,True
