parameter,value,horizon_steps,q_y,rd_steer,runtime_s,mean_control_time_ms,lateral_rmse_m,longitudinal_rmse_m,position_rmse_m,max_position_error_m,heading_rmse_deg,speed_rmse_mps,mean_abs_steering_deg,max_steering_rate_deg_s,acceleration_limit_violations,steering_limit_violations,steering_rate_violations,speed_state_violations,constraint_violations,solver_failures,acceptance_passed
horizon,4,4,8.0,2.0,0.43418141600000126,5.427267700000016,0.06386600144509245,0.16789267175151795,0.17962966171667613,0.35,1.3016750950252252,0.14928369732791458,2.1047432523376504,158.43423443926284,0,0,0,0,0,0,True
horizon,6,6,8.0,2.0,0.6727948909999668,8.409936137499585,0.06313669968933597,0.11471885327967618,0.13094524865555554,0.35,1.281656871343384,0.09279538677855828,2.079286895799435,156.74464725497543,0,0,0,0,0,0,True
horizon,8,8,8.0,2.0,1.0515225089999376,13.14403136249922,0.06283387755596662,0.07374642611809737,0.09688463001895707,0.35,1.274639463964213,0.050544614869816186,2.0734815713891823,155.4410965178857,0,0,0,0,0,0,True
horizon,12,12,8.0,2.0,3.1516955210000788,39.396194012500985,0.062458384199238916,0.040808843838645796,0.07460838754608437,0.35,1.2646744225661473,0.026710000336137737,2.0715113278567117,155.60841374163834,0,0,0,0,0,0,True
horizon,16,16,8.0,2.0,5.2999136370000315,66.2489204625004,0.06248705589716474,0.036889429596713014,0.07256350439901753,0.35,1.2608884751605305,0.028358831634144252,2.063240399344733,155.10375273965386,0,0,0,0,0,0,True
q_y,2.0,8,2.0,2.0,0.95653017799998,11.95662722499975,0.0682432894141806,0.07104807046689546,0.09851383084184959,0.35,1.0687288766816834,0.046569767905200316,1.8967737688661603,93.08240720806876,0,0,0,0,0,0,True
q_y,4.0,8,4.0,2.0,1.0046585649999997,12.558232062499997,0.06516866818650315,0.06845383822548232,0.09451393167678007,0.35,1.1680940183134043,0.04637073756416685,1.965502100483103,120.65899181093097,0,0,0,0,0,0,True
q_y,8.0,8,8.0,2.0,1.0015220510001654,12.519025637502068,0.06283387755596662,0.07374642611809737,0.09688463001895707,0.35,1.274639463964213,0.050544614869816186,2.0734815713891823,155.4410965178857,0,0,0,0,0,0,True
q_y,16.0,8,16.0,2.0,1.0973175389999597,13.716469237499496,0.06049435484057481,0.07152496572559934,0.09367703928725298,0.35,1.3867734279303263,0.048289291693340446,2.1519331008299782,198.18127784017238,0,0,0,0,0,0,True
q_y,32.0,8,32.0,2.0,1.1545975819999512,14.43246977499939,0.05873003511362758,0.07507384271092837,0.09531683421008663,0.35,1.5047680365186384,0.05261037944212391,2.240593806259494,261.6905410824264,0,0,0,0,0,0,True
rd_steer,0.5,8,8.0,0.5,0.9798889520000102,12.248611900000128,0.059385619000046706,0.074148310859227,0.09499801970196678,0.35,1.4103292351699395,0.04933844251283947,2.1524948385669687,234.02764437110991,0,0,0,0,0,0,True
rd_steer,1.0,8,8.0,1.0,1.0064847700000428,12.581059625000535,0.060892562866620294,0.072375690579085,0.09458406207847472,0.35,1.3333064946735804,0.049217363133001964,2.1202207115582246,189.63819612770743,0,0,0,0,0,0,True
rd_steer,2.0,8,8.0,2.0,1.0058758699999544,12.57344837499943,0.06283387755596662,0.07374642611809737,0.09688463001895707,0.35,1.274639463964213,0.050544614869816186,2.0734815713891823,155.4410965178857,0,0,0,0,0,0,True
rd_steer,4.0,8,8.0,4.0,1.0574126120000074,13.217657650000092,0.06476849890135415,0.07453979387622868,0.09874785729850229,0.35,1.221065805854727,0.05486225510803556,2.0086887338273485,126.22122659054888,0,0,0,0,0,0,True
rd_steer,8.0,8,8.0,8.0,1.2895069769999736,16.11883721249967,0.06751445147063057,0.0707653169600709,0.09780557878689451,0.35,1.1575143037464568,0.05255701883558441,1.9422049089840805,96.74622766122864,0,0,0,0,0,0,True
