scenario,seed,lateral_rmse_m,longitudinal_rmse_m,position_rmse_m,max_position_error_m,heading_rmse_deg,speed_rmse_mps,mean_abs_steering_deg,constraint_violations,solver_failures
nominal,0,0.06285545957640473,0.07357772970791097,0.09677030075147774,0.35,1.2752202563575792,0.04940782334687028,2.074557753267232,0,0
nominal,1,0.06285545957640473,0.07357772970791097,0.09677030075147774,0.35,1.2752202563575792,0.04940782334687028,2.074557753267232,0,0
nominal,2,0.06285545957640473,0.07357772970791097,0.09677030075147774,0.35,1.2752202563575792,0.04940782334687028,2.074557753267232,0,0
nominal,3,0.06285545957640473,0.07357772970791097,0.09677030075147774,0.35,1.2752202563575792,0.04940782334687028,2.074557753267232,0,0
nominal,4,0.06285545957640473,0.07357772970791097,0.09677030075147774,0.35,1.2752202563575792,0.04940782334687028,2.074557753267232,0,0
sensor_noise,0,0.07721848959961297,0.09937792659424483,0.1258517676880887,0.35,2.18187290905526,0.07250420781381828,4.91222623652259,0,0
sensor_noise,1,0.07827922376397485,0.03831822711771722,0.0871545948446518,0.35,2.1661392889052897,0.040716093997878074,5.537571895228629,0,0
sensor_noise,2,0.08044970070711802,0.07380225002647577,0.10917383593533436,0.35,2.368733474686936,0.046386077062016084,5.439908872436354,0,0
sensor_noise,3,0.08465834761939627,0.046585367502353196,0.09662935520314643,0.35,2.5108198265247896,0.050116573150112885,5.246901655858318,0,0
sensor_noise,4,0.07831471373971038,0.09249018735691916,0.1211925292476842,0.35,2.2174262245038365,0.05046172401627816,5.599840610613769,0,0
delay_uncompensated,0,2.2015818711939352,4.156901609170472,4.703912597391011,7.075963873342765,36.890649859024705,1.8385747116912257,26.184911466272045,0,0
delay_uncompensated,1,2.2015818711939352,4.156901609170472,4.703912597391011,7.075963873342765,36.890649859024705,1.8385747116912257,26.184911466272045,0,0
delay_uncompensated,2,2.2015818711939352,4.156901609170472,4.703912597391011,7.075963873342765,36.890649859024705,1.8385747116912257,26.184911466272045,0,0
delay_uncompensated,3,2.2015818711939352,4.156901609170472,4.703912597391011,7.075963873342765,36.890649859024705,1.8385747116912257,26.184911466272045,0,0
delay_uncompensated,4,2.2015818711939352,4.156901609170472,4.703912597391011,7.075963873342765,36.890649859024705,1.8385747116912257,26.184911466272045,0,0
delay_compensated,0,0.08354840572032464,0.07427746007808628,0.11179211588506442,0.3560735457302793,1.2988976822490919,0.050740894009363095,2.0827478588515937,0,0
delay_compensated,1,0.08354840572032464,0.07427746007808628,0.11179211588506442,0.3560735457302793,1.2988976822490919,0.050740894009363095,2.0827478588515937,0,0
delay_compensated,2,0.08354840572032464,0.07427746007808628,0.11179211588506442,0.3560735457302793,1.2988976822490919,0.050740894009363095,2.0827478588515937,0,0
delay_compensated,3,0.08354840572032464,0.07427746007808628,0.11179211588506442,0.3560735457302793,1.2988976822490919,0.050740894009363095,2.0827478588515937,0,0
delay_compensated,4,0.08354840572032464,0.07427746007808628,0.11179211588506442,0.3560735457302793,1.2988976822490919,0.050740894009363095,2.0827478588515937,0,0
wheelbase_mismatch_15pct,0,0.06446053451206886,0.06686320331570601,0.09287544598664957,0.35,1.2527097330407595,0.040052971178167855,2.3566199345601944,0,0
wheelbase_mismatch_15pct,1,0.06446053451206886,0.06686320331570601,0.09287544598664957,0.35,1.2527097330407595,0.040052971178167855,2.3566199345601944,0,0
wheelbase_mismatch_15pct,2,0.06446053451206886,0.06686320331570601,0.09287544598664957,0.35,1.2527097330407595,0.040052971178167855,2.3566199345601944,0,0
wheelbase_mismatch_15pct,3,0.06446053451206886,0.06686320331570601,0.09287544598664957,0.35,1.2527097330407595,0.040052971178167855,2.3566199345601944,0,0
wheelbase_mismatch_15pct,4,0.06446053451206886,0.06686320331570601,0.09287544598664957,0.35,1.2527097330407595,0.040052971178167855,2.3566199345601944,0,0
combined_uncompensated,0,2.12801512098929,3.3915294739435646,4.003863200433673,6.044518955906487,34.00430922914553,1.5392877892583683,26.233875034324047,0,0
combined_uncompensated,1,2.204818025249551,3.3215763390852993,3.986739507521984,6.839545328256891,34.47905058152366,1.5168923559356875,25.962800816587023,0,0
combined_uncompensated,2,2.197143560502505,3.1788691172224848,3.8642785471402665,6.450486059922013,34.85552278636771,1.5879510173995646,26.189397585859503,0,0
combined_uncompensated,3,2.3301453318562326,3.504096818576368,4.208119744200302,6.716266795226256,35.562589053685485,1.683252638449745,26.469234816616794,0,0
combined_uncompensated,4,2.1490875213404466,3.2306429813237423,3.880158662626773,6.397318922820723,33.668215595782215,1.5015759949314298,26.08067909549462,0,0
combined_compensated,0,0.11008146869380234,0.12495316548053895,0.16652694470682974,0.3560735457302793,2.812941887384225,0.09370284078311127,8.322973598495606,0,0
combined_compensated,1,0.11364854059661815,0.04082593443563187,0.12075904811766147,0.3560735457302793,2.82343955643872,0.05524542666047871,8.647552810487085,0,0
combined_compensated,2,0.10981472058104345,0.08749146969040326,0.14040665983093326,0.3560735457302793,2.971015771823388,0.059794887764726745,8.236860993725973,0,0
combined_compensated,3,0.12464851516216952,0.054695750361558416,0.13612081927371553,0.3560735457302793,3.276766936949588,0.06088824493239454,8.04706310332642,0,0
combined_compensated,4,0.11438689835092807,0.11679491995164573,0.1634790990948289,0.3560735457302793,2.82801978340227,0.05987754178374922,8.666513119799914,0,0
